date,retail_sales_millions,mom_pct_change,yoy_pct_change,rolling_12m_avg,rolling_12m_std,year,month,is_recession
1992-01-01,159177,,,,,1992,1,False
1992-02-01,159189,0.007538777587212664,,,,1992,2,False
1992-03-01,158647,-0.34047578664354594,,,,1992,3,False
1992-04-01,159921,0.8030407130295458,,,,1992,4,False
1992-05-01,160471,0.343919810406379,,,,1992,5,False
1992-06-01,161205,0.4574035183927405,,,,1992,6,False
1992-07-01,162855,1.0235414534288667,,,,1992,7,False
1992-08-01,162412,-0.2720211230849534,,,,1992,8,False
1992-09-01,164361,1.200034480210821,,,,1992,9,False
1992-10-01,166063,1.035525459202602,,,,1992,10,False
1992-11-01,166124,0.0367330470965932,,,,1992,11,False
1992-12-01,167691,0.9432712913245433,,162343.0,3095.038463558907,1992,12,False
1993-01-01,169500,1.0787698803155887,6.4852334194010375,163203.25,3537.9838409878166,1993,1,False
1993-02-01,168840,-0.3893805309734488,6.0626048282230505,164007.5,3638.0259007524182,1993,2,False
1993-03-01,167682,-0.6858564321250871,5.695033628117763,164760.41666666666,3351.4168634212365,1993,3,False
1993-04-01,172102,2.6359418422967185,7.6168858373822035,165775.5,3588.6957240758147,1993,4,False
1993-05-01,172960,0.4985415625617273,7.782714633796761,166816.25,3719.084690057258,1993,5,False
1993-06-01,173018,0.03353376503236749,7.327936478397068,167800.66666666666,3661.770096882707,1993,6,False
1993-07-01,175822,1.6206406269867912,7.962297749531788,168881.25,3969.937121668326,1993,7,False
1993-08-01,175233,-0.3349978955989541,7.894121124054876,169949.66666666666,3791.8545554513566,1993,8,False
1993-09-01,176608,0.7846695542506277,7.451281021653555,170970.25,3799.053641129863,1993,9,False
1993-10-01,177588,0.5549012502264805,6.940137176854577,171930.66666666666,3901.114114369582,1993,10,False
1993-11-01,179758,1.2219294096448063,8.207122390503475,173066.83333333334,4039.181709057922,1993,11,False
1993-12-01,181077,0.733764283091709,7.982539313379977,174182.33333333334,4261.838918788125,1993,12,False
1994-01-01,179615,-0.8073913307598435,5.967551622418887,175025.25,4251.839176916714,1994,1,False
1994-02-01,183101,1.9408178604236825,8.446458185264149,176213.66666666666,4357.5630248054595,1994,2,False
1994-03-01,186721,1.977050917253309,11.354230030653255,177800.25,4434.161479099236,1994,3,False
1994-04-01,186423,-0.15959640318978785,8.321228108912159,178993.66666666666,4681.399486426624,1994,4,False
1994-05-01,185616,-0.43288650005632867,7.31729879740981,180048.33333333334,4623.780592728997,1994,5,False
1994-06-01,187800,1.1766227049392342,8.543619738986695,181280.16666666666,4548.991952936296,1994,6,False
1994-07-01,188062,0.13951011714590233,6.961586149628607,182300.16666666666,4585.981461987978,1994,7,False
1994-08-01,190771,1.4404823941040812,8.86705129741545,183595.0,4602.712026620875,1994,8,False
1994-09-01,192585,0.9508782781449954,9.046589055988408,184926.41666666666,4707.483644703605,1994,9,False
1994-10-01,193914,0.6900848975776919,9.19318872896817,186286.91666666666,4752.77141080167,1994,10,False
1994-11-01,194425,0.26351887950328834,8.15930306300694,187509.16666666666,4806.738675751993,1994,11,False
